x,y,walls
0,0,"{'top': True, 'right': True, 'bottom': False, 'left': True}"
1,0,"{'top': True, 'right': False, 'bottom': True, 'left': True}"
2,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
3,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
4,0,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
5,0,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
6,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
7,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
8,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
9,0,"{'top': True, 'right': True, 'bottom': True, 'left': False}"
10,0,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
11,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
12,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
13,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
14,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
15,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
16,0,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
17,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
18,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
19,0,"{'top': True, 'right': True, 'bottom': True, 'left': False}"
20,0,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
21,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
22,0,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
23,0,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
24,0,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
25,0,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
26,0,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
27,0,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
28,0,"{'top': True, 'right': False, 'bottom': True, 'left': True}"
29,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
30,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
31,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
32,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
33,0,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
34,0,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
35,0,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
36,0,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
37,0,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
38,0,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
39,0,"{'top': True, 'right': False, 'bottom': True, 'left': True}"
40,0,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
41,0,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
42,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
43,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
44,0,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
45,0,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
46,0,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
47,0,"{'top': True, 'right': True, 'bottom': True, 'left': False}"
0,1,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
1,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
2,1,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
3,1,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
4,1,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
5,1,"{'top': False, 'right': True, 'bottom': True, 'left': True}"
6,1,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
7,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
8,1,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
9,1,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
10,1,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
11,1,"{'top': True, 'right': False, 'bottom': True, 'left': True}"
12,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
13,1,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
14,1,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
15,1,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
16,1,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
17,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
18,1,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
19,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
20,1,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
21,1,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
22,1,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
23,1,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
24,1,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
25,1,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
26,1,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
27,1,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
28,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
29,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
30,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
31,1,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
32,1,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
33,1,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
34,1,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
35,1,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
36,1,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
37,1,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
38,1,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
39,1,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
40,1,"{'top': False, 'right': True, 'bottom': True, 'left': True}"
41,1,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
42,1,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
43,1,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
44,1,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
45,1,"{'top': False, 'right': False, 'bottom': False, 'left': True}"
46,1,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
47,1,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
0,2,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
1,2,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
2,2,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
3,2,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
4,2,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
5,2,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
6,2,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
7,2,"{'top': True, 'right': True, 'bottom': False, 'left': True}"
8,2,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
9,2,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
10,2,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
11,2,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
12,2,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
13,2,"{'top': False, 'right': True, 'bottom': False, 'left': False}"
14,2,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
15,2,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
16,2,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
17,2,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
18,2,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
19,2,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
20,2,"{'top': True, 'right': True, 'bottom': True, 'left': False}"
21,2,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
22,2,"{'top': True, 'right': False, 'bottom': False, 'left': False}"
23,2,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
24,2,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
25,2,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
26,2,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
27,2,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
28,2,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
29,2,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
30,2,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
31,2,"{'top': False, 'right': False, 'bottom': False, 'left': True}"
32,2,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
33,2,"{'top': True, 'right': False, 'bottom': False, 'left': True}"
34,2,"{'top': False, 'right': True, 'bottom': True, 'left': False}"
35,2,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
36,2,"{'top': True, 'right': False, 'bottom': True, 'left': False}"
37,2,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
38,2,"{'top': True, 'right': False, 'bottom': True, 'left': True}"
39,2,"{'top': False, 'right': False, 'bottom': True, 'left': False}"
40,2,"{'top': True, 'right': True, 'bottom': False, 'left': False}"
41,2,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
42,2,"{'top': False, 'right': True, 'bottom': False, 'left': True}"
43,2,"{'top': False, 'right': False, 'bottom': True, 'left': True}"
